lab_method_name,lab_type,lab_csv_header,r-Modus_Soil_Test_v1,r-Modus_Soil_Test_v2,r-Analyte,f-Analyte,r-Extraction_Method,f-Extraction_Method,r-Measurement_Method,f-Measurement_Method,r-Unit_of_Measurement,f-Unit_of_Measurement_Default,r-Unit_of_Measurement_Alt,f-Unit_of_Measurement_Alt,r-UCUM_Unit_String-Unit_of_Measurement_Default,f-UCUM_Unit_String_Default,r-UCUM_Unit_String-Unit_of_Measurement_Alt,f-UCUM_Unit_String_Alt,lu-Modus_Soil_Test_v1-r-Modus_Soil_Test_v2,notes,internal_status,r-Lab,lu-lab_name-r-Lab,lu-modus_id-r-Modus_Soil_Test_v1,lu-modus_id-r-Modus_Soil_Test_v2,lu-unit_of_measurement_name-r-Unit_of_Measurement_Alt,lu-Modus_Soil_Test_v2-r-Modus_Soil_Test_v1,example_test_result
Percent Base Saturation,Soil,,,,,,,,,,,,,,,,,,,"""Percent Base Saturation with test 1"" - what does that mean? https://www.amaglab.com/wp-content/uploads/2021/03/Soil_Fees-03-2021.pdf",Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
pH,Soil,,S-PH-1:1.02.07,L_MODV2_SOIL_PH_005,pH,pH,Slurry,Slurry,H+ ISE,H+ ISE,standard pH unit,standard pH unit,,"standard units, s.u., none",,,,,S-PH-1:1.02.07,,,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",S-PH-1:1.02.07,L_MODV2_SOIL_PH_005,,L_MODV2_SOIL_PH_005,
PHOSPHOLIPID FATTY ACID ANALYSIS,Soil,,,,,,,,,,,,,,,,,,,"
",Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
Phosphorus,Soil,,,,,,,,,,,,,,,,,,,"""Phosphorus (Bray P1, Bicarbonate,
Mehlich II, or Mehlich III)""",Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
Potassium,Soil,,,,,,,,,,,,,,,,,,,Are these elements tested the same as the H3A elements in the Haney test (bottom of list) or differently? ,Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
Saturated extract: B,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
Saturated extract: Ca,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
Saturated extract: Cu,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
Saturated extract: Fe,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
Saturated extract: K,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
Saturated extract: Mg,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
Saturated extract: Mn,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
Saturated extract: Na,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
Saturated extract: NO3-N,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
Saturated extract: P,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
Saturated extract: S,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
Saturated extract: Zn,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
Saturation Paste Moisture,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
Sodium,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
Soil Health Calculation,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
Soil Respiration Test,Soil,,S-CO2-RESP.01,L_MODV2_SOIL_CO2RESP_001,CO2 Respiration,CO2 Respiration,Respiration,Respiration,Spectrophotometric,Spectrophotometric,%,%,,"%, g/kg",%,%,,"%, g/kg",S-CO2-RESP.01, Solvita 24 Hour CO2 Burst,,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",S-CO2-RESP.01,L_MODV2_SOIL_CO2RESP_001,,L_MODV2_SOIL_CO2RESP_001,
Soluble Salts,Soil,,S-EC-1:1.03,L_MODV2_SOIL_EC_001,Electrical Conductivity,Electrical Conductivity,EC Slurry,EC Slurry,Electrical Conductivity,Electrical Conductivity,dS/m,dS/m,,mmho/cm,dS/m,dS/m,,"dS/m, mmho/cm, meq/(100.g), cmol/kg",S-EC-1:1.03,,,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",S-EC-1:1.03,L_MODV2_SOIL_EC_001,,L_MODV2_SOIL_EC_001,
Sulfate-S,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
Textural Class,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
Total Nitrogen (TN),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
Total Organic Carbon,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
Zinc,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE""","American Agricultural Lab - Olsen's Agricultural Lab, McCook, NE",,,,,
calcium,,,,,,,,,,,,,,,,,,,,,,"""Auburn University Soil Testing Laboratory - Auburn, AL""","Auburn University Soil Testing Laboratory - Auburn, AL",,,,,
magnesium,,,,,,,,,,,,,,,,,,,,,,"""Auburn University Soil Testing Laboratory - Auburn, AL""","Auburn University Soil Testing Laboratory - Auburn, AL",,,,,
pH,,,,,,,,,,,,,,,,,,,,,,"""Auburn University Soil Testing Laboratory - Auburn, AL""","Auburn University Soil Testing Laboratory - Auburn, AL",,,,,
phosphorus,,,,,,,,,,,,,,,,,,,,,,"""Auburn University Soil Testing Laboratory - Auburn, AL""","Auburn University Soil Testing Laboratory - Auburn, AL",,,,,
potassium,,,,,,,,,,,,,,,,,,,,,,"""Auburn University Soil Testing Laboratory - Auburn, AL""","Auburn University Soil Testing Laboratory - Auburn, AL",,,,,
Antioxidants,Soil,,,,,,,,,,,,,,,,,,,,Botanical,BI labs,BI labs,,,,,
Brix,Soil,,,,,,,,,,,,,,,,,,,,Botanical,BI labs,BI labs,,,,,
Ca,Soil,,,,,,,,,,,,,,,,,,,,Botanical,BI labs,BI labs,,,,,
Cu,Soil,,,,,,,,,,,,,,,,,,,,Botanical,BI labs,BI labs,,,,,
Dry weight,Soil,,,,,,,,,,,,,,,,,,,,Botanical,BI labs,BI labs,,,,,
Fe,Soil,,,,,,,,,,,,,,,,,,,,Botanical,BI labs,BI labs,,,,,
K,Soil,,,,,,,,,,,,,,,,,,,,Botanical,BI labs,BI labs,,,,,
LOI,Soil,,S-SOM-LOI.15,L_MODV2_SOIL_OM_004,Organic Matter,Organic Matter,Loss on Ignition (LOI),Loss on Ignition (LOI),Gravimetric,Gravimetric,%,%,,"%, g/kg",%,%,,"%, g/kg",S-SOM-LOI.15,,,BI labs,BI labs,S-SOM-LOI.15,L_MODV2_SOIL_OM_004,,L_MODV2_SOIL_OM_004,
Mg,Soil,,,,,,,,,,,,,,,,,,,,Botanical,BI labs,BI labs,,,,,
Mn,Soil,,,,,,,,,,,,,,,,,,,,Botanical,BI labs,BI labs,,,,,
P,Soil,,,,,,,,,,,,,,,,,,,,Botanical,BI labs,BI labs,,,,,
pH,Soil,,S-PH-1:2.02.07,L_MODV2_SOIL_PH_006,pH,pH,Slurry,Slurry,H+ ISE,H+ ISE,standard pH unit,standard pH unit,,"standard units, s.u., none",,,,,S-PH-1:2.02.07,,,BI labs,BI labs,S-PH-1:2.02.07,L_MODV2_SOIL_PH_006,,L_MODV2_SOIL_PH_006,
Polyphenols,Soil,,,,,,,,,,,,,,,,,,,,Botanical,BI labs,BI labs,,,,,
Respiration,Soil,,S-CO2-RESP.01,L_MODV2_SOIL_CO2RESP_001,CO2 Respiration,CO2 Respiration,Respiration,Respiration,Spectrophotometric,Spectrophotometric,%,%,,"%, g/kg",%,%,,"%, g/kg",S-CO2-RESP.01,,,BI labs,BI labs,S-CO2-RESP.01,L_MODV2_SOIL_CO2RESP_001,,L_MODV2_SOIL_CO2RESP_001,
Zn,Soil,,,,,,,,,,,,,,,,,,,,Botanical,BI labs,BI labs,,,,,
% base saturation of Cation,,,,,,,,,,,,,,,,,,,,,,"""Brookside Laboratories, Inc. - New Bremen, OH""","Brookside Laboratories, Inc. - New Bremen, OH",,,,,
Available Nitrogen (NO3-N + NH4-N),,,,,,,,,,,,,,,,,,,,,,"""Brookside Laboratories, Inc. - New Bremen, OH""","Brookside Laboratories, Inc. - New Bremen, OH",,,,,
Bray I Phosphorus,,,,,,,,,,,,,,,,,,,,,,"""Brookside Laboratories, Inc. - New Bremen, OH""","Brookside Laboratories, Inc. - New Bremen, OH",,,,,
Bray II Phosphorus,,,,,,,,,,,,,,,,,,,,,,"""Brookside Laboratories, Inc. - New Bremen, OH""","Brookside Laboratories, Inc. - New Bremen, OH",,,,,
Est. N. release,,,,,,,,,,,,,,,,,,,,,,"""Brookside Laboratories, Inc. - New Bremen, OH""","Brookside Laboratories, Inc. - New Bremen, OH",,,,,
Exchange Capacity,,,,,,,,,,,,,,,,,,,,,,"""Brookside Laboratories, Inc. - New Bremen, OH""","Brookside Laboratories, Inc. - New Bremen, OH",,,,,
Mehlich III Extractable Al,,,,,,,,,,,,,,,,,,,,,,"""Brookside Laboratories, Inc. - New Bremen, OH""","Brookside Laboratories, Inc. - New Bremen, OH",,,,,
Mehlich III Extractable B,,,,,,,,,,,,,,,,,,,,,,"""Brookside Laboratories, Inc. - New Bremen, OH""","Brookside Laboratories, Inc. - New Bremen, OH",,,,,
Mehlich III Extractable Ca,,,,,,,,,,,,,,,,,,,,,,"""Brookside Laboratories, Inc. - New Bremen, OH""","Brookside Laboratories, Inc. - New Bremen, OH",,,,,
Mehlich III Extractable Cu,,,,,,,,,,,,,,,,,,,,,,"""Brookside Laboratories, Inc. - New Bremen, OH""","Brookside Laboratories, Inc. - New Bremen, OH",,,,,
Mehlich III Extractable Fe,,,,,,,,,,,,,,,,,,,,,,"""Brookside Laboratories, Inc. - New Bremen, OH""","Brookside Laboratories, Inc. - New Bremen, OH",,,,,
Mehlich III Extractable K,,,,,,,,,,,,,,,,,,,,,,"""Brookside Laboratories, Inc. - New Bremen, OH""","Brookside Laboratories, Inc. - New Bremen, OH",,,,,
Mehlich III Extractable Mg,,,,,,,,,,,,,,,,,,,,,,"""Brookside Laboratories, Inc. - New Bremen, OH""","Brookside Laboratories, Inc. - New Bremen, OH",,,,,
Mehlich III Extractable Mn,,,,,,,,,,,,,,,,,,,,,,"""Brookside Laboratories, Inc. - New Bremen, OH""","Brookside Laboratories, Inc. - New Bremen, OH",,,,,
Mehlich III Extractable Na,,,,,,,,,,,,,,,,,,,,,,"""Brookside Laboratories, Inc. - New Bremen, OH""","Brookside Laboratories, Inc. - New Bremen, OH",,,,,
Mehlich III Extractable P,,,,,,,,,,,,,,,,,,,,,,"""Brookside Laboratories, Inc. - New Bremen, OH""","Brookside Laboratories, Inc. - New Bremen, OH",,,,,
Mehlich III Extractable S,,,,,,,,,,,,,,,,,,,,,,"""Brookside Laboratories, Inc. - New Bremen, OH""","Brookside Laboratories, Inc. - New Bremen, OH",,,,,
Mehlich III Extractable Zn,,,,,,,,,,,,,,,,,,,,,,"""Brookside Laboratories, Inc. - New Bremen, OH""","Brookside Laboratories, Inc. - New Bremen, OH",,,,,
Organic Matter,,,,,,,,,,,,,,,,,,,,,,"""Brookside Laboratories, Inc. - New Bremen, OH""","Brookside Laboratories, Inc. - New Bremen, OH",,,,,
pH,,,,,,,,,,,,,,,,,,,,,,"""Brookside Laboratories, Inc. - New Bremen, OH""","Brookside Laboratories, Inc. - New Bremen, OH",,,,,
Available water capacity,,,,,,,,,,,,,,,,,,,,,Need more info from lab,Cornell Soil Health Lab,Cornell Soil Health Lab,,,,,
Hot water soluble boron,,,,,,,,,,,,,,,,,,,,,Need more info from lab,Cornell Soil Health Lab,Cornell Soil Health Lab,,,,,
Active Carbon,Soil,Active Carbon,S-POXC.01.0,L_MODV2_SOIL_POTOXC_001,Potential Oxidizable Carbon,Potential Oxidizable Carbon,"""""""Permanganate, Oxidizable Carbon """"""","""Permanganate, Oxidizable Carbon """,Spectrophotometric,Spectrophotometric,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],S-POXC.01.0,,,Cornell Soil Health Lab,Cornell Soil Health Lab,S-POXC.01.0,L_MODV2_SOIL_POTOXC_001,,L_MODV2_SOIL_POTOXC_001,
Bulk Density,Soil,,,L_MODV2_SOIL_BD_003,Bulk Density,Bulk Density,Core Extraction,Core Extraction,Gravimetric,Gravimetric,g/cm3,g/cm3,,,,g/cm3,,,S-BD-Core.00,,,Cornell Soil Health Lab,Cornell Soil Health Lab,,L_MODV2_SOIL_BD_003,,,
Carbonate,Soil,,S-CACO3.14,L_MODV2_SOIL_CACO3_003,Calcium Carbonate,Calcium Carbonate,Pressure Calcimeter,Pressure Calcimeter,CO2 Displacement,CO2 Displacement,%,%,,"%, g/kg",%,%,,"%, g/kg",S-CACO3.14,,,Cornell Soil Health Lab,Cornell Soil Health Lab,S-CACO3.14,L_MODV2_SOIL_CACO3_003,,L_MODV2_SOIL_CACO3_003,
CO2 (RESP) 4 day,Soil,4-day respiration,S-CO2-RESP-4DAY-C-OT,,,CO2 Respiration,,CO2 Respiration,,conductivty,,mg/g,,,mg/g,mg/g,,,,,submitted to AgGateway,Cornell Soil Health Lab,Cornell Soil Health Lab,S-CO2-RESP-4DAY-C-OT,,,,
Electrical Conductivity (Soluble Salts),Soil,,S-SS.19,L_MODV2_SOIL_SS_001,Soluble Salts,Soluble Salts,Saturated Paste,Saturated Paste,Electrical Conductivity,Electrical Conductivity,mg/kg,mg/kg,,ppm,[ppm],[ppm],,[ppm],S-SS.19,,,Cornell Soil Health Lab,Cornell Soil Health Lab,S-SS.19,L_MODV2_SOIL_SS_001,,L_MODV2_SOIL_SS_001,
Laboratory Analysis Autoclave-Citrate Extractable (ACE) protein test,Soil,"ACE Soil Protein Index,protein",S-SP-ACE-OT,L_MODV2_SOIL_ACEN_001,ACE nitrogen (soil protein index),ACE nitrogen (soil protein index),Soil Protein,Soil Protein,Spectrophotometric,Spectrophotometric,g/kg,g/kg,,,mg/g,mg/g,,,S-SP-ACE-OT,https://cpb-us-e1.wpmucdn.com/blogs.cornell.edu/dist/7/9922/files/2021/11/09bPredicted-Protein.pdf,,Cornell Soil Health Lab,Cornell Soil Health Lab,S-SP-ACE-OT,L_MODV2_SOIL_ACEN_001,,L_MODV2_SOIL_ACEN_001,
Modified Morgan Extractable Al,Soil,Aluminum,S-Al-MMOR-OT,,,Al (Mod Morgan),,Modified Morgan,,ICP,,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],,,submitted to AgGateway,Cornell Soil Health Lab,Cornell Soil Health Lab,S-Al-MMOR-OT,,,,
Modified Morgan Extractable B,Soil,Boron,S-B-MMOR-OT,,,B (Mod Morgan),,Modified Morgan,,ICP,,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],,,submitted to AgGateway,Cornell Soil Health Lab,Cornell Soil Health Lab,S-B-MMOR-OT,,,,
Modified Morgan Extractable Ca,Soil,Calcium,S-CA-MMOR.05,L_MODV2_SOIL_CA_024,Calcium,Calcium,Morgan Modified,Morgan Modified,ICP-OES / AAS,ICP-OES / AAS,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],S-CA-MMOR.05,,,Cornell Soil Health Lab,Cornell Soil Health Lab,S-CA-MMOR.05,L_MODV2_SOIL_CA_024,,L_MODV2_SOIL_CA_024,
Modified Morgan Extractable Cu,Soil,Copper,S-Cu-MMOR-OT,L_MODV2_SOIL_CU_017,Copper,Copper,Morgan Modified,Morgan Modified,ICP-OES,ICP-OES,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],S-Cu-MMOR-OT,,submitted to AgGateway,Cornell Soil Health Lab,Cornell Soil Health Lab,S-Cu-MMOR-OT,L_MODV2_SOIL_CU_017,,L_MODV2_SOIL_CU_017,
Modified Morgan Extractable Fe,Soil,Iron,S-Fe-MMOR-OT,,,Fe (Mod Morgan),,Modified Morgan,,ICP,,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],,,submitted to AgGateway,Cornell Soil Health Lab,Cornell Soil Health Lab,S-Fe-MMOR-OT,,,,
Modified Morgan Extractable K,Soil,"Extractable Potassium,Potassium",S-K-MMOR.05,L_MODV2_SOIL_K_034,Potassium,Potassium,Morgan Modified,Morgan Modified,ICP-OES,ICP-OES,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],,,,Cornell Soil Health Lab,Cornell Soil Health Lab,S-K-MMOR.05,L_MODV2_SOIL_K_034,,,
Modified Morgan Extractable Mg,Soil,Magnesium,S-MG-MMOR.05,L_MODV2_SOIL_MG_024,Magnesium,Magnesium,Morgan Modified,Morgan Modified,ICP-OES / AAS,ICP-OES / AAS,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],S-MG-MMOR.05,,,Cornell Soil Health Lab,Cornell Soil Health Lab,S-MG-MMOR.05,L_MODV2_SOIL_MG_024,,L_MODV2_SOIL_MG_024,
Modified Morgan Extractable Micronutrients,Soil,"Minor Elements,Additional nutrients score",,,Micronutrient,Micronutrient,,,,,,,,,,,,,,this is a scored value made up by Cornel,"Not in MODUS,predicted or scored value",Cornell Soil Health Lab,Cornell Soil Health Lab,,,,,
Modified Morgan Extractable Mn,Soil,Manganese,,L_MODV2_SOIL_MN_017,Manganese,Manganese,Morgan Modified,Morgan Modified,ICP-OES,ICP-OES,mg/kg,mg/kg,,ppm,,mg/kg,,[ppm],,,,Cornell Soil Health Lab,Cornell Soil Health Lab,,L_MODV2_SOIL_MN_017,,,
Modified Morgan Extractable P,Soil,"Extractable Phosphorus,Phosphorus",S-P-MMOR.01.03,L_MODV2_SOIL_P_036,Phosphorus,Phosphorus,Morgan Modified,Morgan Modified,ICP-OES,ICP-OES,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],S-P-MMOR.01.03,,,Cornell Soil Health Lab,Cornell Soil Health Lab,S-P-MMOR.01.03,L_MODV2_SOIL_P_036,,"L_MODV2_SOIL_P_036,L_MODV2_SOIL_P_037",
Modified Morgan Extractable S,Soil,Sulfer,S-S-MMOR.05,L_MODV2_SOIL_S_028,Sulfur,Sulfur,Morgan Modified,Morgan Modified,ICP-OES,ICP-OES,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],S-S-MMOR.05,,,Cornell Soil Health Lab,Cornell Soil Health Lab,S-S-MMOR.05,L_MODV2_SOIL_S_028,,"L_MODV2_SOIL_S_028,L_MODV2_SOIL_S_029",
Modified Morgan Extractable Zn,Soil,Zinc,,L_MODV2_SOIL_ZN_018,Zinc,Zinc,Morgan Modified,Morgan Modified,ICP-OES,ICP-OES,mg/kg,mg/kg,,ppm,,mg/kg,,[ppm],,,,Cornell Soil Health Lab,Cornell Soil Health Lab,,L_MODV2_SOIL_ZN_018,,,
Moisture,Soil,soil moisture 15bar,S-15BAR.14,L_MODV2_SOIL_GWC_15BAR_001,moisture content,moisture content,15 Bar Moisture Tension,15 Bar Moisture Tension,Gravimetric,Gravimetric,%,%,,in/ft,%,%,,[in_i]/[ft_i],S-15BAR.14,,,Cornell Soil Health Lab,Cornell Soil Health Lab,S-15BAR.14,L_MODV2_SOIL_GWC_15BAR_001,,L_MODV2_SOIL_GWC_15BAR_001,
Moisture,Soil,soil moisture 0.1bar,S-MOIST-0.1BMT-PP-OT,,,Moisture,,0.1 Bar Moisture Tension,,Pressure Plate,,%,,,%,%,,,,,submitted to AgGateway,Cornell Soil Health Lab,Cornell Soil Health Lab,S-MOIST-0.1BMT-PP-OT,,,,
Organic Matter,Soil,"Organic Matter,Loss on Ignition %",S-SOM-LOI.15,L_MODV2_SOIL_OM_004,Organic Matter,Organic Matter,Loss on Ignition (LOI),Loss on Ignition (LOI),Gravimetric,Gravimetric,%,%,,"%, g/kg",%,%,,"%, g/kg",S-SOM-LOI.15,,,Cornell Soil Health Lab,Cornell Soil Health Lab,S-SOM-LOI.15,L_MODV2_SOIL_OM_004,,L_MODV2_SOIL_OM_004,
Potential Oxidizable Carbon,Soil,,S-AC-KMNO4.01,L_MODV2_SOIL_MNO4OXC_001,permanganate-oxidizable carbon (POXC),permanganate-oxidizable carbon (POXC),Potassium Permanganate,Potassium Permanganate,Spectrophotometric,Spectrophotometric,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],S-AC-KMNO4.01,,,Cornell Soil Health Lab,Cornell Soil Health Lab,S-AC-KMNO4.01,L_MODV2_SOIL_MNO4OXC_001,,L_MODV2_SOIL_MNO4OXC_001,
Predicted autoclave-citrate extractable (ACE) protein test,Soil,,,,,,,,,,,,,,,,,,,this is a predicted value using the outputs from other tests: https://bpb-us-e1.wpmucdn.com/blogs.cornell.edu/dist/7/9922/files/2023/02/CASH_SH_Series_Predicted-Protein_FINAL-4-5-22-update.pdf,"Not in MODUS,predicted or scored value",Cornell Soil Health Lab,Cornell Soil Health Lab,,,,,
Predicted available water capacity,Soil,"Available Water Capacity,AWC 0.1-15",,,,,,,,,,,,,,,,,,this is a predicted value using both moisture methods https://cpb-us-e1.wpmucdn.com/blogs.cornell.edu/dist/7/9922/files/2021/11/05_AWC.pdf,"Not in MODUS,predicted or scored value",Cornell Soil Health Lab,Cornell Soil Health Lab,,,,,
Root Pathogen Pressure,Soil,,,,,,,,,,,,,,,,,,,NO LONGER OFFERED,,Cornell Soil Health Lab,Cornell Soil Health Lab,,,,,
Soil Organic Carbon,Soil,Soil Organic Carbon,S-OM-CORNELL-OT,,,Soil Organic Carbon,,Loss on Ignition (LOI),,Gravimetric,,,,,,,,,,,submitted to AgGateway,Cornell Soil Health Lab,Cornell Soil Health Lab,S-OM-CORNELL-OT,,,,
Soil pH,Soil,Soil pH,S-PH-1:2.02.07,L_MODV2_SOIL_PH_006,pH,pH,Slurry,Slurry,H+ ISE,H+ ISE,standard pH unit,standard pH unit,,"standard units, s.u., none",,,,,S-PH-1:2.02.07,,,Cornell Soil Health Lab,Cornell Soil Health Lab,S-PH-1:2.02.07,L_MODV2_SOIL_PH_006,,L_MODV2_SOIL_PH_006,
Soil Respiration,Soil,Soil Respiration,S-CO2-RESP.01,L_MODV2_SOIL_CO2RESP_001,CO2 Respiration,CO2 Respiration,Respiration,Respiration,Spectrophotometric,Spectrophotometric,%,%,,"%, g/kg",%,%,,"%, g/kg",S-CO2-RESP.01,,,Cornell Soil Health Lab,Cornell Soil Health Lab,S-CO2-RESP.01,L_MODV2_SOIL_CO2RESP_001,,L_MODV2_SOIL_CO2RESP_001,
Soil Texture,Soil,"Measured Soil Textural Class,texture",S-TEXTURE-SS-TA-USDA-OT,L_MODV2_SOIL_TEXTURE_001,,Textural Classification,,Calculation,,Gravimetric,,Texture Classification,,,,,,,S-TEXTURE.19,"calculated from sand, silt and clay. method not in modus","Not in MODUS,predicted or scored value",Cornell Soil Health Lab,Cornell Soil Health Lab,S-TEXTURE-SS-TA-USDA-OT,L_MODV2_SOIL_TEXTURE_001,,,
Soil Texture Clay,Soil,Clay.clay%,S-CLAY-SED.11,L_MODV2_SOIL_CLAY_004,Clay,Clay,Sodium Hexametaphosphate Solution / Electrical Mixer,Sodium Hexametaphosphate Solution / Electrical Mixer,Gravimetric,Gravimetric,%,%,,"%, g/kg",%,%,,"%, g/kg",S-CLAY-SED.11,,,Cornell Soil Health Lab,Cornell Soil Health Lab,S-CLAY-SED.11,L_MODV2_SOIL_CLAY_004,,L_MODV2_SOIL_CLAY_004,
Soil Texture Sand,Soil,"Sand,sand%",S-SAND-SV.19,L_MODV2_SOIL_SAND_001,Sand,Sand,Sodium Hexametaphosphate Solution / Electrical Mixer,Sodium Hexametaphosphate Solution / Electrical Mixer,Gravimetric,Gravimetric,%,%,,"%, g/kg",%,%,,"%, g/kg",S-SAND-SV.19,,,Cornell Soil Health Lab,Cornell Soil Health Lab,S-SAND-SV.19,L_MODV2_SOIL_SAND_001,,L_MODV2_SOIL_SAND_001,
Soil Texture Silt,Soil,"Silt,silt%",S-SILT-SED.11,L_MODV2_SOIL_SILT_004,Silt,Silt,Sodium Hexametaphosphate Solution / Electrical Mixer,Sodium Hexametaphosphate Solution / Electrical Mixer,Gravimetric,Gravimetric,%,%,,"%, g/kg",%,%,,"%, g/kg",S-SILT-SED.11,,,Cornell Soil Health Lab,Cornell Soil Health Lab,S-SILT-SED.11,L_MODV2_SOIL_SILT_004,,L_MODV2_SOIL_SILT_004,
Sub-surface hardness,Soil,Subsurface Hardness,S-SSH-CORNELL-OT,,,Sub-surface hardness,,Compression pressure,,Steady insertion in field soil,,Direct readout,,psi,,,,,,FIELD METHOD,"Not in MODUS,Field Method",Cornell Soil Health Lab,Cornell Soil Health Lab,S-SSH-CORNELL-OT,,,,
