lab_method_name,lab_csv_header,Element,ExtractionMethod,MeasurementMethod,lab_Unit_of_Measurement_Default,ValueUnits,UCUM_ValueUnits,AlternativeUnits,Modus_Soil_Test,Lab,lab_name
Exchangeable Magnesium,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
Available Magnesium,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
Exchangeable Potassium,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
Sand Tests,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
Lime Tests,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
Clay Tests,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
Texture,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
Available K,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
Available Na,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
pH (1:2.5 Extract),,pH,1:2.5 (Soil:Water),H+ ISE,,standard units,,"standard units, s.u., none",S-PH-1:2.5.02.07,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
Exchangeable Na,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
Total Nitrogen (Dumas),,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
Exchangeable Aluminum,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
KCl Exchangeable Acidity,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
Cation Exchange Capacity (CEC) - statistical,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
Active Lime,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
Ca,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
Mg,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
K,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
pH (2.5),,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
Total Nitrogen,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
"Available Phosphorus (Olsen, Bray (pH 6))",,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
C/N Ratio,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
Electrical Conductivity (1:5),,Electrical Conductivity,EC 1:5 Ratio,Conductivity,,dS/m,dS/m,"dS/m, mmhos/cm, meq/100 g, cmol/kg",S-EC-1:5.03,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
Organic Matter,,,,,,,,,,"""AGQ Labs USA - Oxnard, CA""","AGQ Labs USA - Oxnard, CA"
Soil pH,,,,,,,,,,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN"
Buffer pH,,,,,,,,,,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN"
CEC,,,,,,,,,,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN"
POTASSIUM (K),,,,,,,,,,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN"
PHOSPHORUS (P1),,,,,,,,,,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN"
CALCIUM (Ca),,,,,,,,,,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN"
MAGNESIUM (Mg),,,,,,,,,,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN"
ZINC (Zn),,,,,,,,,,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN"
MANGANESE (Mn),,,,,,,,,,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN"
SULFUR (S),,,,,,,,,,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN"
BORON (B),,,,,,,,,,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN"
Organic Matter (OM),,,,,,,,,,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN"
PSNT (Pre-Sidedress Nitrogen Test),,,,,,,,,,"""Agri-Labs, Inc. - Auburn, IN""","Agri-Labs, Inc. - Auburn, IN"
Soil pH,,pH,1:1 soil:water ,H+ ISE,,standard units,,"standard units, s.u., none",S-PH-1:1.02.07,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
Buffer pH,,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
Organic matter (%),,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
Cation exchange capacity/sum of the cations (meq/100g),,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
Phosphorus (ppm P),,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
Phosphorus Saturation Ratio,,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
Potassium (ppm K),,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
Calcium (ppm Ca),,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
Magnesium (ppm Mg),,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
Cation base saturations,,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
Sulfur (ppm SO4-S),,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
Manganese (ppm Mn),,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
Zinc (ppm Zn),,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
 Boron (ppm B),,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
Copper (ppm Cu),,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
Iron (ppm Fe),,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
Sodium (ppm Na),,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
Aluminum (ppm Al),,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
Soluble Salts (mmho/cm),,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
Nitrate (NO3-N),,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
Ammonium (NH4-N),,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
% sand,,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
% silt,,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
% silt,,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
USDA soil classification,,USDA Soil Classification,,,,,,,S-USDA-soil.class-OT,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
Mehlich III nutrients,,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
particle size separation % retained,,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
particle size separation % passing,,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
Total N,,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
total P,,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
Solvita soil health,,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
Modified Morgan extraction,,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
water extraction,,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
dissolved phosphorus,,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
saturated paste,,,,,,,,,,"""AgroLab, Inc. - Harrington, DE""","AgroLab, Inc. - Harrington, DE"
pH,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
buffer pH,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
soluble salt,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
excess carbonate,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
organic matter,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
sodium,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
phosphorus,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
potassium,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
magnesium,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
calcium,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
CEC,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
percent base saturation,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
nitrate,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
sulfur,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
zinc,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
manganese,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
copper,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
iron,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
boron,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
Particle Size Analysis,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
Saturated Paste Extract (salinity),,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
Soybean Cyst Nematode,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
Late Spring/Pre-Sidedress Nitrate Testing – option to add ammonia,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
"Haney H3A Extraction: : Orthophosphate-P, Phosphorus, Potassium, Calcium, Iron and Aluminum",,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
CO2 Respiration,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
C:N Ratio,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
Carbon,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
Total Nitrogen,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
Nitrate-N,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
Ammoniacal-N,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
Orthophosphate-P,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
Water Saturation %,,,,,,,,,,"""AgSource - Harris, Lincoln, NE""","AgSource - Harris, Lincoln, NE"
NITRATE-NITROGEN,,,,,,,,,,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
PHOSPHORUS (BRAY/OLSEN),,,,,,,,,,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
POTASSIUM,,,,,,,,,,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
SULFATE-SULFUR,,,,,,,,,,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
CALCIUM,,,,,,,,,,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
MAGNESIUM,,,,,,,,,,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
SODIUM,,,,,,,,,,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
BORON,,,,,,,,,,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
CHLORIDE,,,,,,,,,,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
COPPER,,,,,,,,,,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
IRON,,,,,,,,,,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
MANGANESE,,,,,,,,,,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
ZINC,,,,,,,,,,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
PH2,,,,,,,,,,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
SOLUBLE SALTS (EC),,,,,,,,,,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
ORGANIC MATTER,,,,,,,,,,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
CARBONATE,,,,,,,,,,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
CEC,,,,,,,,,,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
BASE SATURATION,,,,,,,,,,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
CO2 RESPIRATION,,CO2 Respiration,CO2 Respiration,Solvita 24 Respiration,,%,%,"%, g/kg",S-CO2-RESP.01,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
ACTIVE CARBON,,"""Carbon, Active""",KMnO4,Spectrophotometric,,mg/kg,mg/kg,"mg/kg, ppm",S-AC-KMNO4.01,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
TOTAL ORGANIC CARBON,,,,,,,,,,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
BIOAVAILABLE NITROGEN,,Bioavailable nitrogen,Bicinchoninic Acid Protein Assay,Calculated,,mg/g,mg/g,,S-SP-ACE-OT,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
SOIL AGGREGATE STABILITY,,Aggregate Stability,Sieve,Calculated,,,,,S-AS-WAS-OT,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
SAND CORRECTION,,,,,,,,,,"""AGVISE Laboratories - Benson, MN;""","AGVISE Laboratories - Benson, MN;"
pH,,pH,1:2 soil:water ,H+ ISE,,standard units,,"standard units, s.u., none",S-PH-1:2.02.07,BI labs,BI labs
LOI,,Organic Matter,Loss-on-Ignition ,Gravimetric,,%,%,"%, g/kg",S-SOM-LOI.15,BI labs,BI labs
Respiration,,CO2 Respiration,CO2 Respiration,Solvita 24 Respiration,,%,%,"%, g/kg",S-CO2-RESP.01,BI labs,BI labs
Antioxidants,,,,,,,,,,BI labs,BI labs
Polyphenols,,,,,,,,,,BI labs,BI labs
Brix,,,,,,,,,,BI labs,BI labs
Dry weight,,,,,,,,,,BI labs,BI labs
Ca,,,,,,,,,,BI labs,BI labs
Cu,,,,,,,,,,BI labs,BI labs
Fe,,,,,,,,,,BI labs,BI labs
K,,,,,,,,,,BI labs,BI labs
Mg,,,,,,,,,,BI labs,BI labs
Mn,,,,,,,,,,BI labs,BI labs
P,,,,,,,,,,BI labs,BI labs
Zn,,,,,,,,,,BI labs,BI labs
Predicted autoclave-citrate extractable (ACE) protein test,,,,,,,,,,Cornell Soil Health Lab,Cornell Soil Health Lab
Electrical Conductivity (Soluble Salts),,Electrical Conductivity,EC 1:2 Ratio,Conductivity,,dS/m,dS/m,"dS/m, mmhos/cm, meq/100 g, cmol/kg",S-EC-1:2.03,Cornell Soil Health Lab,Cornell Soil Health Lab
Laboratory Analysis Autoclave-Citrate Extractable (ACE) protein test,ACE Soil Protein Index,Bioavailable nitrogen,Bicinchoninic Acid Protein Assay,Calculated,,mg/g,mg/g,,S-SP-ACE-OT,Cornell Soil Health Lab,Cornell Soil Health Lab
Soil Texture,Measured Soil Textural Class,Textural Classification,Sieve and Sedimentation,Texture Autolookup,,USDA Texture Class,,,S-TEXTURE-SS-TA-USDA-OT,Cornell Soil Health Lab,Cornell Soil Health Lab
Soil Respiration,Soil Respiration,CO2 Respiration,CO2 Respiration,Solvita 24 Respiration,,%,%,"%, g/kg",S-CO2-RESP.01,Cornell Soil Health Lab,Cornell Soil Health Lab
Predicted available water capacity,Available Water Capacity,,,,,,,,,Cornell Soil Health Lab,Cornell Soil Health Lab
Soil pH,Soil pH,pH,1:2 soil:water ,H+ ISE,,standard units,,"standard units, s.u., none",S-PH-1:2.02.07,Cornell Soil Health Lab,Cornell Soil Health Lab
Organic Matter,Organic Matter,Organic Matter,Loss-on-Ignition ,Gravimetric,,%,%,"%, g/kg",S-SOM-LOI.15,Cornell Soil Health Lab,Cornell Soil Health Lab
Modified Morgan Extractable P,Extractable Phosphorus,P (Mod Morgan),Modified Morgan,ICP,,mg/kg,mg/kg,ppm,S-P-MMOR-OT,Cornell Soil Health Lab,Cornell Soil Health Lab
Modified Morgan Extractable K,Extractable Potassium,Potassium,Modified Morgan,"""ICP, AAS""",,mg/kg,mg/kg,"mg/kg, ppm, meq/100 g, cmol/kg, lb/ac, kg/ha",S-K-MMOR.05,Cornell Soil Health Lab,Cornell Soil Health Lab
Modified Morgan Extractable Micronutrients,Minor Elements,,,,,,,,,Cornell Soil Health Lab,Cornell Soil Health Lab
Wet Aggregate Stability,Aggregate Stability,Aggregate Stability,Sieve,Calculated,,,,,S-AS-WAS-OT,Cornell Soil Health Lab,Cornell Soil Health Lab
Active Carbon,Active Carbon,"""Carbon, Active""",KMnO4,Spectrophotometric,,mg/kg,mg/kg,"mg/kg, ppm",S-AC-KMNO4.01,Cornell Soil Health Lab,Cornell Soil Health Lab
Total Carbon,,Total Carbon,Dry Combustion,Gravimetric,,%,%,%,S-TC-COMB.15,Cornell Soil Health Lab,Cornell Soil Health Lab
Total Nitrogen,,"""Nitrogen, Total""",Combustion Analyzer,Combustion Analyzer,,%,%,"%, g/kg",S-TN.16,Cornell Soil Health Lab,Cornell Soil Health Lab
Total Carbon:Total Nitrogen,,Total Carbon:Total Nitrogen,Dry Combustion,Calculated,,none,,none,S-TC:TN.19,Cornell Soil Health Lab,Cornell Soil Health Lab
Surface hardness,Surface Hardness,,,,,,,,,Cornell Soil Health Lab,Cornell Soil Health Lab
Sub-surface hardness,Subsurface Hardness,,,,,,,,,Cornell Soil Health Lab,Cornell Soil Health Lab
Soil Texture Sand,,Sand,Sieve,Calculated,,%,%,"%, g/kg",S-SAND-SV.19,Cornell Soil Health Lab,Cornell Soil Health Lab
Soil Texture Silt,,Silt,Sedimentation,Gravimeteric,,%,%,,S-SILT-ST-OT,Cornell Soil Health Lab,Cornell Soil Health Lab
Soil Texture Clay,,Clay,Sedimentation,Gravimetric,,%,%,,S-CLAY-ST-OT,Cornell Soil Health Lab,Cornell Soil Health Lab
CO2 (RESP) 4 day,,"CO2 Respiration, CO2 Respiration, CO2 Respiration","CO2 Respiration, CO2 Respiration, CO2 Respiration","conductivty, gas chromatography, Titration",,"mg/g, mg/g, mg/g","mg/g, mg/g, mg/g",,"S-CO2-RESP-4DAY-C-OT,S-CO2-RESP-4DAY-GC-OT,S-CO2-RESP-4DAY-T-OT",Cornell Soil Health Lab,Cornell Soil Health Lab
Modified Morgan Extractable Cu,,Cu (Mod Morgan),Modified Morgan,ICP,,mg/kg,mg/kg,ppm,S-Cu-MMOR-OT,Cornell Soil Health Lab,Cornell Soil Health Lab
Modified Morgan Extractable Fe,,Fe (Mod Morgan),Modified Morgan,ICP,,mg/kg,mg/kg,ppm,S-Fe-MMOR-OT,Cornell Soil Health Lab,Cornell Soil Health Lab
Modified Morgan Extractable Mg,,Magnesium,Modified Morgan,"""ICP, AAS""",,mg/kg,mg/kg,"mg/kg, ppm, meq/100 g, cmol/kg, lb/ac, kg/ha",S-MG-MMOR.05,Cornell Soil Health Lab,Cornell Soil Health Lab
Modified Morgan Extractable Mn,,Mn (Mod Morgan),Modified Morgan,ICP,,mg/kg,mg/kg,ppm,S-Mn-MMOR-OT,Cornell Soil Health Lab,Cornell Soil Health Lab
Moisture,,"Moisture, Moisture","15 Bar Moisture Tension, 0.1 Bar Moisture Tension","Pressure Plate, Pressure Plate",,"%, %","%, %","%, in/ft, in/depth, g/kg","S-15BAR.14,S-MOIST-0.1BMT-PP-OT",Cornell Soil Health Lab,Cornell Soil Health Lab
Modified Morgan Extractable Zn,,Zn (Mod Morgan),Modified Morgan,ICP,,mg/kg,mg/kg,ppm,S-Zn-MMOR-OT,Cornell Soil Health Lab,Cornell Soil Health Lab
Modified Morgan Extractable Al,,Al (Mod Morgan),Modified Morgan,ICP,,mg/kg,mg/kg,ppm,S-Al-MMOR-OT,Cornell Soil Health Lab,Cornell Soil Health Lab
Modified Morgan Extractable Ca,,Calcium,Modified Morgan,"""ICP, AAS""",,mg/kg,mg/kg,"mg/kg, ppm, meq/100 g, cmol/kg, lb/ac, kg/ha",S-CA-MMOR.05,Cornell Soil Health Lab,Cornell Soil Health Lab
Modified Morgan Extractable S,,Sulfur,Ammonium Acetate,ICP,,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-S-NH4AC.05,Cornell Soil Health Lab,Cornell Soil Health Lab
Modified Morgan Extractable B,,B (Mod Morgan),Modified Morgan,ICP,,mg/kg,mg/kg,ppm,S-B-MMOR-OT,Cornell Soil Health Lab,Cornell Soil Health Lab
Potential Oxidizable Carbon,,Potential Oxidizable Carbon,permanganate oxidizable carbon ,Spectrophotometric,,mg/kg,mg/kg,"mg/kg, ppm",S-POXC.01.0,Cornell Soil Health Lab,Cornell Soil Health Lab
Bulk Density,,Bulk Density,Intact Core,Weight,,g/cm3,g/cm3,,S-BD-Core.01-OT,Cornell Soil Health Lab,Cornell Soil Health Lab
Carbonate,,Carbonate,Acid Reaction,Calcimetry,,,,%,S-CO3-AR-C-OT,Cornell Soil Health Lab,Cornell Soil Health Lab
Total Exchange Capacity,,Cation Exchange Capacity,Displacement - Ammonium Acetate,ICP-OES,,cmol/kg,cmol/kg,"cmol/kg, meq/100 g",S-CEC-AA.23,Logan Labs,Logan Labs
% Base saturation Ca,,Base Saturation - Ca,EPA 3050 Digestion Acid Recoverable,Calculated,,%,%,%,S-BS-MG,Logan Labs,Logan Labs
% Base saturation Mg,,Base Saturation - Mg,EPA 3050 Digestion Acid Recoverable,Calculated,,%,%,%,S-BS-MG.19,Logan Labs,Logan Labs
% Base saturation K,,Base Saturation - K,EPA 3050 Digestion Acid Recoverable,Calculated,,%,%,%,S-BS-K.19,Logan Labs,Logan Labs
% Base saturation Na,,Base Saturation - Na,EPA 3050 Digestion Acid Recoverable,Calculated,,%,%,%,S-BS-NA.19,Logan Labs,Logan Labs
Soluble Salts,,Soluble Salts,5:1 Water Extraction,Calculated,,ppm,[ppm],"ppm, lb/ac, dS/m, mmhos/cm",S-SS.19,Logan Labs,Logan Labs
Conductivity,,Electrical Conductivity,EC 1:2 Ratio,Conductivity,,dS/m,dS/m,"dS/m, mmhos/cm, meq/100 g, cmol/kg",S-EC-1:2.03,Logan Labs,Logan Labs
Carbonate,,Carbonate,Saturated Paste,Titration,,meq/L,meq/L,"meq/L, mg/L, ppm",S-CO3-SP.12,Logan Labs,Logan Labs
Salt Concentration,,,,,,,,,,Logan Labs,Logan Labs
Sand Fractions,,,,,,,,,,Logan Labs,Logan Labs
Aluminium,,Aluminum,Mehlich 3 ICP,ICP,,mg/kg,mg/kg,"mg/kg, ppm, meq/100 g, cmol/kg, lb/ac, kg/ha",S-AL-M3.05,Logan Labs,Logan Labs
Sodium Adsorption Ratio,,Sodium Adsorption Ratio,Saturated Paste,Calculated,,none,,none,S-SAR-SP.00,Logan Labs,Logan Labs
Chloride,,Chloride,Saturated Paste,ion selective electrode,,meq/L,meq/L,"meq/L, mg/L, ppm, lb/ac, kg/ha",S-CL-SP.02,Logan Labs,Logan Labs
Bicarbonate,,Bicarbonate,Saturated Paste,Titration,,meq/L,meq/L,"meq/L, mg/L, ppm",Unnamed record,Logan Labs,Logan Labs
% Sand,,Sand,Sedimentation,Hydrometer Method,,%,%,"%, g/kg",S-SAND-SED.10,Logan Labs,Logan Labs
% Clay,,Clay,Sedimentation,Hydrometer Method,,%,%,"%, g/kg",S-CLAY-SED.10,Logan Labs,Logan Labs
% Silt,,Silt,Sedimentation,Hydrometer Method,,%,%,"%, g/kg",S-SILT-SED.10,Logan Labs,Logan Labs
pH,,pH,1:1 soil:water ,H+ ISE,,standard units,,"standard units, s.u., none",S-PH-1:1.02.07,Logan Labs,Logan Labs
Organic Matter,,Organic Matter,Loss-on-Ignition ,Gravimetric,,%,%,"%, g/kg",S-SOM-LOI.15,Logan Labs,Logan Labs
Phosphorous,,Phosphorus,Mehlich 3 ICP,ICP,,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-P-M3.04,Logan Labs,Logan Labs
Manganese,,Manganese,Mehlich 3 ICP,"""ICP, AAS""",,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-MN-M3.05,Logan Labs,Logan Labs
Copper,,Copper,Mehlich 3 ICP,"""ICP, AAS""",,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-CU-M3.05,Logan Labs,Logan Labs
Zinc,,Zinc,Mehlich 3 ICP,"""ICP, AAS""",,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-ZN-M3.05,Logan Labs,Logan Labs
